basicData/name;basicData/title;geoData/address;geoData/zipcode;geoData/country;geoData/latitude;geoData/longitude;geoData/subAdministrativeArea
The Magic Forest;The Magic Forest;Edgar Neville, s/n  (Ciudad de la imagen);28223;Spain;40.393846000000;-3.796441000000;Pozuelo de Alarcón
Pequeño Teatro Gran Vía;Pequeño Teatro Gran Vía;Gran Vía, 66;28013;Spain;40.422413725918;-3.708939850330;Madrid
Auditorio Marcelino Camacho ;Auditorio Marcelino Camacho ;de Lope de Vega , 40;28014;Spain;40.413732943949;-3.694501519203;Madrid
Galería de Cristal (Palacio de Cibeles)		;Galería de Cristal (Palacio de Cibeles)		;de Cibeles, 1;28014;Spain;40.418933900000;-3.692152100000;Madrid
Teatro Tribueñe ;Teatro Tribueñe ;de Sancho Dávila , 31;28028;Spain;40.425558216472;-3.661563992500;Madrid
Campus de la Universidad Complutense;Campus de la Universidad Complutense;Complutense;28040;Spain;40.443673653017;-3.727155459765;Madrid
Pabellón Satélite Madrid Arena (Casa de Campo);Pabellón Satélite Madrid Arena (Casa de Campo);Principal,  18;28011;Spain;40.414741200000;-3.738811100000;Madrid
Pabellón de Cristal (Casa de Campo);Pabellón de Cristal (Casa de Campo);Principal, 16;28011;Spain;40.414780100000;-3.737961200000;Madrid
Casino Gran Vía;Casino Gran Vía;Gran Vía, 24;28013;Spain;40.420110395413;-3.700832873583;Madrid
Parque Dehesa de la Villa;Parque Dehesa de la Villa;Dehesa de la Villa, 1;28040;Spain;40.457766004288;-3.721332664055;Madrid
Basílica de Nuestra Señora de Atocha;Basílica de Nuestra Señora de Atocha;Ciudad de Barcelona, 1;28007;Spain;40.405245000000;-3.683177000000;Madrid
Forestal Park;Forestal Park;Area Recreativa Embalse de las Encinillas I, San Macario, 64;28440;Spain;40.678398400000;-4.112257700000;Guadarrama
De pino a pino;De Pino a Pino;de la Barranca, s/n;28491;Spain;40.735176800000;-4.005854800000;Navacerrada
Aquópolis de Villanueva de la Cañada;Aquópolis de Villanueva de la Cañada;de la Dehesa, s/n;28691;Spain;40.456874624943;-3.990440368652;Villanueva de la Cañada
 Hipódromo de la Zarzuela; Hipódromo de la Zarzuela;Padre Huidobro , s/n;28023;Spain;40.468563758773;-3.758010864258;Madrid
Museo de la Selección Española de Fútbol;Museo de la Selección Española de Fútbol;Ramón y Cajal, s/n;28232;Spain;40.522991004742;-3.898805379868;Las Rozas
Galería Moisés Pérez de Albéniz;Galería Moisés Pérez de Albéniz;del Doctor Fourquet , 20;28012;Spain;40.407448300000;-3.697894700000;Madrid
Fundación Mapfre. Sala Bárbara de Braganza;Fundación Mapfre. Sala Bárbara de Braganza;Bárbara de Braganza, 13;28004;Spain;40.423399968322;-3.691883683205;Madrid
Tabacalera Promoción del Arte;Tabacalera Promoción del Arte;de Embajadores, 51;28012;Spain;40.406519000000;-3.703276000000;Madrid
Galería Marita Segovia ;Galería Marita Segovia ;de Lagasca, 7;28001;Spain;40.421561000000;-3.685894900000;Madrid
Galería Marta Cervera;Galería Marta Cervera;de Valencia, 28;28012;Spain;40.406482785342;-3.699868619442;Madrid
